step,train_loss,lr,val_loss,val_perplexity
10,2.8374890089035034,0.0002727272727272727,,
20,2.859132468700409,0.0005454545454545454,,
30,2.907968282699585,0.0005993933765229526,,
40,2.8655046820640564,0.0005964287196886973,,
50,2.7701250314712524,0.0005910217513378715,,
50,,,2.8325639247894285,16.98896345652448
60,2.9543715715408325,0.000583222036326278,,
70,2.8511552214622498,0.0005731010734541248,,
80,2.872187077999115,0.0005607516400474087,,
90,2.9268893599510193,0.0005462869414822902,,
100,2.8497217893600464,0.0005298395734486431,,
100,,,2.7554776191711428,15.728551366757106
110,2.871999442577362,0.0005115603064655496,,
120,2.790992856025696,0.0004916167037909025,,
130,2.797230303287506,0.00047019158539452746,,
140,2.7849283814430237,0.0004474813520753493,,
150,2.777125895023346,0.00042369418508516466,,
150,,,2.6955524921417235,14.813700946143552
160,2.701182186603546,0.0003990481377627978,,
170,2.593825101852417,0.0003737691366723354,,
180,2.704251229763031,0.000348088910568706,,
190,2.6503623723983765,0.0003222428661754575,,
200,2.58902508020401,0.0002964679302471576,,
200,,,2.617316114902496,13.698907907867554
210,2.6536442041397095,0.00027100037769789995,,
220,2.6471681594848633,0.00024607366570513357,,
230,2.5784778594970703,0.0002219162936432551,,
240,2.619643986225128,0.0001987497084646267,,
250,2.6276673674583435,0.00017678627472907327,,
250,,,2.563596934080124,12.98243037950239
260,2.6191775798797607,0.00015622732789028916,,
270,2.559639275074005,0.00013726132868438257,,
280,2.65626323223114,0.00012006213553899599,,
290,2.537749409675598,0.00010478741083956512,,
300,2.622236907482147,9.157717566223158e-05,,
300,,,2.5221078395843506,12.454821781063508
310,2.668043792247772,8.055252622195258e-05,,
320,2.6660759449005127,7.181452380193215e-05,,
330,2.624374806880951,6.544326834022195e-05,,
340,2.6892093420028687,6.149716416578215e-05,,
350,2.5112566351890564,6.0012384614888495e-05,,
350,,,2.4996825993061065,12.178627842253789
