step,train_loss,lr,val_loss,val_perplexity
10,2.48445588350296,4.5454545454545455e-06,,
20,2.380974292755127,9.090909090909091e-06,,
30,2.2596119046211243,9.98988960871588e-06,,
40,2.234061121940613,9.940478661478289e-06,,
50,2.1740756034851074,9.850362522297862e-06,,
50,,,2.2467491269111632,9.456942491002103
60,2.250333309173584,9.720367272104636e-06,,
70,2.2111961245536804,9.551684557568748e-06,,
80,2.291405141353607,9.345860667456815e-06,,
90,2.17930006980896,9.104782358038173e-06,,
100,2.306486129760742,8.830659557477388e-06,,
100,,,2.1914903819561005,8.94853992364977
110,2.2541763186454773,8.526005107759162e-06,,
120,2.2430999279022217,8.193611729848376e-06,,
130,2.178121119737625,7.836526423242126e-06,,
140,2.207087814807892,7.4580225345891565e-06,,
150,2.1801196932792664,7.061569751419412e-06,,
150,,,2.1662019044160843,8.725082332346709
160,2.156205177307129,6.650802296046631e-06,,
170,2.178778111934662,6.229485611205591e-06,,
180,2.2010595202445984,5.801481842811768e-06,,
190,2.178430914878845,5.370714436257626e-06,,
200,2.2585296034812927,4.941132170785961e-06,,
200,,,2.1512904286384584,8.595943695165442
210,2.171246200799942,4.516672961631666e-06,,
220,2.0298063457012177,4.101227761752227e-06,,
230,2.197351813316345,3.6986048940542523e-06,,
240,2.136547565460205,3.3124951410771123e-06,,
250,2.2201207876205444,2.9464379121512214e-06,,
250,,,2.141873261332512,8.515374218782958
260,2.1873576939105988,2.6037887981714867e-06,,
270,2.248205244541168,2.2876888114063762e-06,,
280,2.223725914955139,2.0010355923166e-06,,
290,2.1349490582942963,1.7464568473260856e-06,,
300,2.118920683860779,1.5262862610371931e-06,,
300,,,2.1377815812826158,8.480603216393842
310,2.1575217247009277,1.3425421036992096e-06,,
320,2.068879783153534,1.1969087300322025e-06,,
330,2.366110146045685,1.0907211390036991e-06,,
340,2.07892507314682,1.024952736096369e-06,,
350,2.1053414940834045,1.0002064102481416e-06,,
350,,,2.135342174768448,8.459940789938873
