step,train_loss,lr,val_loss,val_perplexity
10,2.60756054520607,8.998780215719628e-05,,
19,,,2.7388345334264965,15.468946046882273
20,2.828294113278389,8.853293066471532e-05,,
30,2.839935779571533,8.473852313990282e-05,,
38,,,2.709861159324646,15.027188984963798
40,2.7321302741765976,7.883200685953442e-05,,
50,2.8092813342809677,7.116740360542745e-05,,
57,,,2.6930340925852456,14.776441065577224
60,2.6785430014133453,6.220411048615511e-05,,
70,2.7288326174020767,5.247936482578654e-05,,
76,,,2.683843152390586,14.641253879765419
80,2.748715490102768,4.2576043505207805e-05,,
90,2.7488760501146317,3.3087726782797915e-05,,
95,,,2.673131783803304,14.485262942536668
100,2.8242530822753906,2.458312058148462e-05,,
110,2.6499586403369904,1.7571969681122448e-05,,
114,,,2.66747393210729,14.403538882343877
120,2.5815343409776688,1.2474504894007007e-05,,
130,2.6980568170547485,9.59625548324788e-06,,
133,,,2.664091600312127,14.354903631463252
136,2.720299571752548,9.012197842803729e-06,,
136,,,2.663631257083681,14.348296969564219
