step,train_loss,lr,val_loss,val_perplexity
10,2.840912029147148,9.998644684132919e-06,,
19,,,2.8838924169540405,17.883748885048977
20,2.784710079431534,9.836992296079481e-06,,
30,2.762534350156784,9.415391459989202e-06,,
38,,,2.8449222905295235,17.20022199684662
40,2.872458353638649,8.759111873281603e-06,,
50,2.7905191779136658,7.907489289491938e-06,,
57,,,2.82699784551348,16.894664221078152
60,2.829723969101906,6.911567831795012e-06,,
70,2.7851845026016235,5.831040536198504e-06,,
76,,,2.8171977383749827,16.7299033573638
80,2.7725865244865417,4.7306715005786445e-06,,
90,2.808470234274864,3.676414086977546e-06,,
95,,,2.8118491888046266,16.640661509916978
100,2.8357857018709183,2.73145784238718e-06,,
110,2.9074734300374985,1.952441075680272e-06,,
114,,,2.8087631259645733,16.589386542377593
120,2.4830514639616013,1.386056099334112e-06,,
130,2.762001186609268,1.0662506092497645e-06,,
133,,,2.8069820846830096,16.559866456159305
136,2.7806151062250137,1.0013553158670808e-06,,
136,,,2.806800419943673,16.556858385574554
