step,train_loss,lr,val_loss,val_perplexity
10,2.6282412707805634,2.9995934052398754e-05,,
19,,,2.7595957219600677,15.793456709717018
20,2.845151737332344,2.951097688823844e-05,,
30,2.852550595998764,2.8246174379967606e-05,,
38,,,2.718496153752009,15.157510531256712
40,2.7386257648468018,2.627733561984481e-05,,
50,2.818442851305008,2.3722467868475815e-05,,
57,,,2.7006066143512726,14.88876072196296
60,2.685017094016075,2.0734703495385035e-05,,
70,2.752145394682884,1.749312160859551e-05,,
76,,,2.6922063165240817,14.764214542503643
80,2.7444129586219788,1.4192014501735932e-05,,
90,2.766191303730011,1.1029242260932639e-05,,
95,,,2.684940798415078,14.657333617195615
100,2.8341154605150223,8.19437352716154e-06,,
110,2.685191109776497,5.8573232270408154e-06,,
114,,,2.6825986239645214,14.623043756976946
120,2.60316064953804,4.1581682980023355e-06,,
130,2.7199966311454773,3.1987518277492934e-06,,
133,,,2.681139181057612,14.601717825263592
136,2.739615336060524,3.0040659476012426e-06,,
136,,,2.6809068388409085,14.598325623867447
