step,train_loss,lr,val_loss,val_perplexity
10,2.6162891685962677,5.999186810479751e-05,,
19,,,2.7442158924208746,15.552414383938356
20,2.831903398036957,5.902195377647688e-05,,
30,2.8383579403162003,5.649234875993521e-05,,
38,,,2.706762499279446,14.98069690364205
40,2.727256163954735,5.255467123968962e-05,,
50,2.8064591735601425,4.744493573695163e-05,,
57,,,2.6888095173570843,14.714148551042802
60,2.6734844148159027,4.146940699077007e-05,,
70,2.732534632086754,3.498624321719102e-05,,
76,,,2.680011010832257,14.58525389078066
80,2.7410870790481567,2.8384029003471863e-05,,
90,2.748956546187401,2.2058484521865278e-05,,
95,,,2.6714076101779938,14.460309352558092
100,2.821521520614624,1.638874705432308e-05,,
110,2.6587869375944138,1.1714646454081631e-05,,
114,,,2.6674598422315388,14.403335939700371
120,2.585613325238228,8.316336596004671e-06,,
130,2.7016505151987076,6.397503655498587e-06,,
133,,,2.6651742259661355,14.370453033967761
136,2.723723128437996,6.008131895202485e-06,,
136,,,2.66477640469869,14.364737299123842
