step,train_loss,lr,val_loss,val_perplexity
6,,,3.049798627694448,21.111092805045097
10,2.916094660758972,2.872355120615748e-06,,
12,,,3.017768363157908,20.445613550188998
18,,,2.9967392881711326,20.020150436532052
20,3.077376961708069,2.1779913726617104e-06,,
24,,,2.9822466174761453,19.732097359993215
30,2.952838659286499,1.2141114535585478e-06,,
30,,,2.9726644158363342,19.543923424430226
36,,,2.966822604338328,19.430084344821733
40,2.6768858432769775,4.727332990058596e-07,,
42,,,2.963866114616394,19.372724334082235
46,3.0687255859375,3.036014170542053e-07,,
46,,,2.962535560131073,19.346965009719227
