step,train_loss,lr,val_loss,val_perplexity
10,2.836821734905243,0.00025,,
20,3.1419665217399597,0.00024692232684904144,,
20,,,2.987422307332357,19.834489322090015
30,3.0182138681411743,0.00023785769978770598,,
40,2.749370753765106,0.00022330208253741796,,
40,,,3.0405304630597434,20.916335636178324
50,3.1624680757522583,0.0002040518738965213,,
60,2.7939677834510803,0.0001811603334256281,,
60,,,3.0083652337392173,20.25426186219786
70,2.771226167678833,0.00015587995320458464,,
80,2.839893341064453,0.00012959392874365458,,
80,,,3.005095620950063,20.18814641343662
90,3.034322202205658,0.00010374047856246168,,
100,2.9388498663902283,7.973415322958026e-05,,
100,,,2.9762566685676575,19.614256387989627
110,2.988977015018463,5.888843937488032e-05,,
120,2.503705143928528,4.234389333335154e-05,,
120,,,2.9548091689745584,19.198058785003628
130,3.0121931433677673,3.100573652982616e-05,,
140,2.5250128507614136,2.5494327022536465e-05,,
140,,,2.9442800879478455,18.996981306674975
143,3.0955267548561096,2.503091667514571e-05,,
143,,,2.942842682202657,18.969694552370406
