step,train_loss,lr,val_loss,val_perplexity
10,4.537211060523987,0.0018181818181818182,,
20,4.795159101486206,0.0036363636363636364,,
30,4.6613242626190186,0.003995955843486351,,
40,4.613433361053467,0.0039761914645913155,,
50,4.564267158508301,0.003940145008919144,,
50,,,4.6471422672271725,104.28653628355895
60,4.520690083503723,0.003888146908841854,,
70,4.573583483695984,0.003820673823027499,,
80,4.415918469429016,0.003738344266982725,,
90,4.4188172817230225,0.0036419129432152687,,
100,4.487323641777039,0.003532263822990955,,
100,,,4.389371562004089,80.58975739768262
110,4.4712337255477905,0.0034104020431036646,,
120,4.321820378303528,0.0032774446919393505,,
130,4.343639135360718,0.0031346105692968505,,
140,4.280215740203857,0.0029832090138356628,,
150,4.12803316116333,0.002824627900567765,,
150,,,4.188052117824554,65.89431151475955
160,4.285367727279663,0.0026603209184186526,,
170,4.074007332324982,0.0024917942444822364,,
180,4.109591603279114,0.002320592737124707,,
190,3.9501378536224365,0.0021482857745030504,,
200,4.0814908146858215,0.0019764528683143844,,
200,,,4.014113426208496,55.37418033663341
210,3.9697529077529907,0.0018066691846526665,,
220,3.6128734350204468,0.0016404911047008908,,
230,3.9515891671180725,0.0014794419576217009,,
240,3.8878368139266968,0.0013249980564308448,,
250,3.8423136472702026,0.0011785751648604886,,
250,,,3.857743638753891,47.358373125659945
260,3.8556602597236633,0.0010415155192685945,,
270,3.950039803981781,0.0009150755245625505,,
280,3.8069072365760803,0.00080041423692664,,
290,3.7480127215385437,0.0006985827389304343,,
300,3.762773871421814,0.0006105145044148773,,
300,,,3.758378618955612,42.87884663755018
310,3.6006690859794617,0.0005370168414796839,,
320,3.6095473170280457,0.00047876349201288106,,
330,3.9821428060531616,0.0004362884556014797,,
340,3.6358500123023987,0.00040998109443854766,,
350,3.674034893512726,0.0004000825640992567,,
350,,,3.6855804562568664,39.86825751428991
