step,train_loss,lr,val_loss,val_perplexity
10,4.57261335849762,4.545454545454545e-05,,
20,4.748695254325867,9.09090909090909e-05,,
30,4.484025955200195,0.00013636363636363634,,
40,4.229320764541626,0.00014995145872419876,,
50,4.363895297050476,0.00014965507038448907,,
60,4.254865288734436,0.0001490904435122604,,
70,4.512026906013489,0.00014825983340532964,,
75,,,4.269074404239655,71.45546612434319
80,4.3497596979141235,0.00014716655778244684,,
90,4.267326354980469,0.0001458149835312803,,
100,4.153320550918579,0.0001442105092656896,,
110,4.117179811000824,0.00014235954376195928,,
120,4.120502591133118,0.00014026948036012494,,
130,4.181770086288452,0.00013794866743264107,,
140,4.289167642593384,0.0001354063750383484,,
150,4.007126212120056,0.00013265275789493507,,
150,,,4.1984167158603665,66.58083117083204
160,4.220411598682404,0.00012969881481779118,,
170,4.252012014389038,0.00012655634478727103,,
180,3.999121308326721,0.000123237899819844,,
190,4.31734561920166,0.00011975673483138184,,
200,3.98270320892334,0.00011612675469284392,,
210,3.740951180458069,0.00011236245868983681,,
220,4.110163927078247,0.00010847888260789436,,
225,,,4.149527937173843,63.40406253147749
230,4.156643748283386,0.00010449153867480792,,
240,3.8842853903770447,0.0001004163535998957,,
250,4.143105149269104,9.626960495770236e-05,,
260,4.373436808586121,9.206785617023228e-05,,
270,4.087625861167908,8.782789034741755e-05,,
280,4.0685577392578125,8.356664325008355e-05,,
290,4.034166157245636,7.93011356431784e-05,,
300,4.128543317317963,7.504840530946929e-05,,
300,,,4.11607603430748,61.31815921986307
310,3.8473169207572937,7.082543899526413e-05,,
320,4.0402655601501465,6.664910455998909e-05,,
330,4.284550905227661,6.253608360063771e-05,,
340,4.17878121137619,5.8502804820210954e-05,,
350,4.06193882226944,5.456537840629569e-05,,
360,4.050830960273743,5.073953168189402e-05,,
370,4.1705517172813416,4.704054628553484e-05,,
375,,,4.0929487407207485,59.91630913226323
380,4.0827836990356445,4.348319713158943e-05,,
390,4.0508851408958435,4.008169339460333e-05,,
400,4.044932544231415,3.684962175337152e-05,,
410,3.8987005949020386,3.3799892121457856e-05,,
420,4.052294909954071,3.094468608092846e-05,,
430,4.458057641983032,2.8295408225270708e-05,,
440,4.160409390926361,2.5862640605849722e-05,,
450,4.164027035236359,2.3656100463857487e-05,,
450,,,4.075994092226028,58.90901248182824
460,3.934835433959961,2.1684601416586716e-05,,
470,3.8379039764404297,1.995601825306336e-05,,
480,3.7354071140289307,1.8477255479655554e-05,,
490,4.307496070861816,1.7254219741297337e-05,,
500,4.011907458305359,1.6291796228485827e-05,,
510,4.1204224824905396,1.5593829164289517e-05,,
520,4.029037117958069,1.5163106449308827e-05,,
525,,,4.065516448020935,58.2950070907524
530,4.120992839336395,1.5001348525921793e-05,,
530,,,4.065389394760132,58.28760099050755
