dataset,cell,pack_sequences,max_steps,max_lr,seed,final_val_loss,best_val_loss,best_val_step,wall_seconds,log_path
alpaca_mid,packed_109,True,109,9e-05,1337,2.0505,2.0505,109,284,logs/lr_scaling/alpaca_mid_packed_109_lr9e-05_seed1337.csv
alpaca_mid,packed_109,True,109,0.00025,1337,2.0605,2.0605,109,99,logs/lr_scaling/alpaca_mid_packed_109_lr0.00025_seed1337.csv
alpaca_mid,packed_109,True,109,0.0004,1337,2.1110,2.1110,109,232,logs/lr_scaling/alpaca_mid_packed_109_lr0.0004_seed1337.csv
alpaca_short,packed_68,True,68,9e-05,1338,1.9432,1.9432,68,65,logs/lr_scaling/alpaca_short_packed_68_lr9e-05_seed1338.csv
alpaca_short,packed_68,True,68,0.00015,1338,1.9265,1.9265,68,70,logs/lr_scaling/alpaca_short_packed_68_lr0.00015_seed1338.csv
alpaca_short,packed_68,True,68,0.00015,1339,1.8531,1.8531,68,73,logs/lr_scaling/alpaca_short_packed_68_lr0.00015_seed1339.csv
alpaca_short,packed_68,True,68,9e-05,1339,1.8666,1.8666,68,272,logs/lr_scaling/alpaca_short_packed_68_lr9e-05_seed1339.csv
alpaca_short,packed_68,True,68,0.00025,1338,1.9512,1.9512,68,74,logs/lr_scaling/alpaca_short_packed_68_lr0.00025_seed1338.csv
alpaca_short,packed_68,True,68,0.00025,1339,1.8810,1.8810,68,210,logs/lr_scaling/alpaca_short_packed_68_lr0.00025_seed1339.csv
alpaca_short,unpacked_530,False,530,3e-05,1338,1.9268,1.9268,530,371,logs/lr_scaling/alpaca_short_unpacked_530_lr3e-05_seed1338.csv
alpaca_short,unpacked_530,False,530,6e-05,1338,1.9173,1.9173,530,372,logs/lr_scaling/alpaca_short_unpacked_530_lr6e-05_seed1338.csv
alpaca_short,unpacked_530,False,530,3e-05,1339,1.8507,1.8507,530,987,logs/lr_scaling/alpaca_short_unpacked_530_lr3e-05_seed1339.csv
alpaca_short,unpacked_530,False,530,6e-05,1339,1.8345,1.8345,530,372,logs/lr_scaling/alpaca_short_unpacked_530_lr6e-05_seed1339.csv
alpaca_short,unpacked_530,False,530,9e-05,1339,1.8564,1.8564,530,372,logs/lr_scaling/alpaca_short_unpacked_530_lr9e-05_seed1339.csv
alpaca_short,unpacked_530,False,530,9e-05,1338,1.9452,1.9452,530,861,logs/lr_scaling/alpaca_short_unpacked_530_lr9e-05_seed1338.csv
alpaca_mid,packed_109,True,109,9e-05,1338,2.0604,2.0604,109,91,logs/lr_scaling/alpaca_mid_packed_109_lr9e-05_seed1338.csv
alpaca_mid,packed_109,True,109,0.00015,1338,2.0550,2.0550,109,99,logs/lr_scaling/alpaca_mid_packed_109_lr0.00015_seed1338.csv
alpaca_mid,packed_109,True,109,9e-05,1339,2.0337,2.0337,109,239,logs/lr_scaling/alpaca_mid_packed_109_lr9e-05_seed1339.csv
alpaca_mid,packed_109,True,109,0.00015,1339,2.0349,2.0349,109,100,logs/lr_scaling/alpaca_mid_packed_109_lr0.00015_seed1339.csv
alpaca_mid,packed_109,True,109,0.00025,1339,2.0639,2.0639,109,99,logs/lr_scaling/alpaca_mid_packed_109_lr0.00025_seed1339.csv
alpaca_mid,packed_109,True,109,0.00025,1338,2.0737,2.0737,109,281,logs/lr_scaling/alpaca_mid_packed_109_lr0.00025_seed1338.csv
alpaca_mid,unpacked_530,False,530,3e-05,1338,2.0673,2.0673,530,373,logs/lr_scaling/alpaca_mid_unpacked_530_lr3e-05_seed1338.csv
alpaca_mid,unpacked_530,False,530,6e-05,1338,2.0642,2.0642,530,373,logs/lr_scaling/alpaca_mid_unpacked_530_lr6e-05_seed1338.csv
alpaca_mid,unpacked_530,False,530,3e-05,1339,2.0463,2.0463,530,1011,logs/lr_scaling/alpaca_mid_unpacked_530_lr3e-05_seed1339.csv
alpaca_mid,unpacked_530,False,530,6e-05,1339,2.0459,2.0459,530,373,logs/lr_scaling/alpaca_mid_unpacked_530_lr6e-05_seed1339.csv
alpaca_mid,unpacked_530,False,530,9e-05,1339,2.0673,2.0673,530,373,logs/lr_scaling/alpaca_mid_unpacked_530_lr9e-05_seed1339.csv
alpaca_mid,unpacked_530,False,530,9e-05,1338,2.0812,2.0812,530,899,logs/lr_scaling/alpaca_mid_unpacked_530_lr9e-05_seed1338.csv
alpaca_long,packed_194,True,194,9e-05,1338,2.1602,2.1602,194,149,logs/lr_scaling/alpaca_long_packed_194_lr9e-05_seed1338.csv
alpaca_long,packed_194,True,194,0.00015,1338,2.1577,2.1577,194,159,logs/lr_scaling/alpaca_long_packed_194_lr0.00015_seed1338.csv
alpaca_long,packed_194,True,194,9e-05,1339,2.0817,2.0817,194,448,logs/lr_scaling/alpaca_long_packed_194_lr9e-05_seed1339.csv
alpaca_long,packed_194,True,194,0.00015,1339,2.0748,2.0748,194,156,logs/lr_scaling/alpaca_long_packed_194_lr0.00015_seed1339.csv
